area,"poly(dist, 2, raw = TRUE)",mean_mx30_grd,GeologicalOrigin,"poly(dist, 1, raw = TRUE)",model
1.493361052639923,1.493361052639923,NA,NA,NA,Anagenesis volcanic islands
1.496070574894953,1.496070574894953,NA,NA,NA,Anagenesis volcanic islands
1.4986266375098098,1.4986266375098098,NA,NA,NA,Anagenesis volcanic islands
1.4954968885128914,1.4954968885128914,NA,NA,NA,Anagenesis volcanic islands
1.4946593282838614,1.4946593282838614,NA,NA,NA,Anagenesis volcanic islands
1.4960448181467951,1.4960448181467951,NA,NA,NA,Anagenesis volcanic islands
1.4901881584899985,1.4901881584899985,NA,NA,NA,Anagenesis volcanic islands
1.4909317030049962,1.4909317030049962,NA,NA,NA,Anagenesis volcanic islands
1.4950361531517202,1.4950361531517202,NA,NA,NA,Anagenesis volcanic islands
1.4982706185109487,1.4982706185109487,NA,NA,NA,Anagenesis volcanic islands
1.4953234316342692,1.4953234316342692,NA,NA,NA,Anagenesis volcanic islands
1.496193814681176,1.496193814681176,NA,NA,NA,Anagenesis volcanic islands
1.4934218717796486,1.4934218717796486,NA,NA,NA,Anagenesis volcanic islands
1.4921533723413367,1.4921533723413367,NA,NA,NA,Anagenesis volcanic islands
1.4972014637025077,1.4972014637025077,NA,NA,NA,Anagenesis volcanic islands
1.4973767394945847,1.4973767394945847,NA,NA,NA,Anagenesis volcanic islands
1.4923880786832993,1.4923880786832993,NA,NA,NA,Anagenesis volcanic islands
1.4998151232184926,1.4998151232184926,NA,NA,NA,Anagenesis volcanic islands
1.2527850939835798,NA,NA,1.0845940272700405,1.1836243361659633,Cladogenesis all islands
1.2523239561086303,NA,NA,1.0819835419645811,1.1822905577351013,Cladogenesis all islands
1.267845799153339,NA,NA,1.0881176724688477,1.1946654463705606,Cladogenesis all islands
1.2694430358619824,NA,NA,1.0858396847574494,1.1953878220814833,Cladogenesis all islands
1.2588754452564028,NA,NA,1.0873644852554387,1.1869233006437623,Cladogenesis all islands
1.261456317417381,NA,NA,1.0869031567248353,1.1906876859914506,Cladogenesis all islands
1.2721351884453282,NA,NA,1.088024436026394,1.1972969385775603,Cladogenesis all islands
1.2559273492291192,NA,NA,1.0872988380668145,1.186121037009277,Cladogenesis all islands
1.2546289379842974,NA,NA,1.083714434098304,1.1835627221458411,Cladogenesis all islands
1.2548618337236184,NA,NA,1.0856186405438546,1.1847966650928177,Cladogenesis all islands
1.2509429664065785,NA,NA,1.0831918464022805,1.181518100067258,Cladogenesis all islands
1.255061832267977,NA,NA,1.0853098927418368,1.1836149023080893,Cladogenesis all islands
1.2565166668754773,NA,NA,1.0836177167122147,1.1857736246950767,Cladogenesis all islands
1.2646589664731323,NA,NA,1.0861152536751746,1.19287204106182,Cladogenesis all islands
